Keyword,Date,Product Name,Price,Page
soda,2020-11-12,"poppi A Healthy Sparkling Prebiotic Soda, w/ Real Fruit Juice, Gut Health & Immunity Benefits, 12pk 12oz Cans, Beach Party Variety Pack (Strawberry Lemonade| Lime Ginger| Pineapple Mango| Orange)",$35.88,2
soda,2020-11-12,"poppi A Healthy Sparkling Prebiotic Soda, w/ Real Fruit Juice, Gut Health & Immunity Benefits, 12pk 12oz Cans, The Short List Variety Pack (Strawberry Lemonade| Lime Ginger| Raspberry Rose| Blueberry)",$35.88,2
soda,2020-11-12,Soda Women's Preforated Slip On Sneakers,$18.47,2
soda,2020-11-12,"Fanta Orange Soda Fruit Flavored Soft Drink, 67.6 Fl Oz",$1.00,2
soda,2020-11-12,"Sprite Lemon Lime Soda Soft Drinks, 12 Fl Oz, 24 Pack",$7.48,2
soda,2020-11-12,"Pepsi Soda, 12 Fl Oz (pack of 24), (Packaging May Vary)",$7.48,2
soda,2020-11-12,"Coca-Cola Soda Soft Drink, 12 fl oz, 24 Pack",$7.48,2
soda,2020-11-12,Arm & Hammer Super Washing Soda 55 oz.,$4.12,2
soda,2020-11-12,"Fanta Strawberry Soda Fruit Flavored Soft Drink, 2 Liter Bottle",$1.00,2
soda,2020-11-12,"ARM & HAMMER Baking Soda, 13.5 lb (Pack of 2), White",$25.80,2
soda,2020-11-12,"Perrier Pink Grapefruit Flavored Carbonated Mineral Water, 8.45 Fl Oz (30 Pack) Slim Cans",$22.88,2
soda,2020-11-12,"poppi A Healthy Sparkling Prebiotic Soda, w/ Real Fruit Juice, Gut Health & Immunity Benefits, 12pk 12oz Cans, Blueberry",$35.88,2
soda,2020-11-12,"Q Club Soda, Premium Club Soda, 7.5 Fl oz, 24 Cans",$21.48,2
soda,2020-11-12,Arm & Hammer Baking Soda - 64 oz,$11.88,2
soda,2020-11-12,"Zevia Zero Calorie Cream Soda, 16 Ounce Cans (Pack of 12)",$13.31,2
soda,2020-11-12,Milliard 5lbs Baking Soda / Sodium Bicarbonate USP - 5 Pound Bulk Resealable Bag,$14.99,2
soda,2020-11-12,"Baking Soda (1 Gallon Bucket), Highest Purity, Aluminum Free, Food & USP Grade, For Cooking, Baking, Cleaning, & More!",$29.99,2
soda,2020-11-12,"iDesign Fridge Binz BPA-Free Plastic Beverage Can Organizer with Lid - 13.84"" x 5.7"" x 5.8"", Clear",$16.99,2
soda,2020-11-12,"Arm & Hammer Pure Baking Soda, 8 oz",$3.93,2
soda,2020-11-12,"Tab Fridge Pack Bundle, 12 Fl Oz, 36 Pack",$0,2
soda,2020-11-12,"McCormick All Natural Pure Vanilla Extract, 16 fl oz",$24.61,2
soda,2020-11-12,"Perrier Carbonated Mineral Water, 16.9 Fl Oz (24 Pack) Plastic Bottles",$14.83,2
soda,2020-11-12,"poppi A Healthy Sparkling Prebiotic Soda, w/ Real Fruit Juice, Gut Health & Immunity Benefits, 12pk 12oz Cans, Beach Party Variety Pack (Strawberry Lemonade| Lime Ginger| Pineapple Mango| Orange)",$35.88,1
soda,2020-11-12,"poppi A Healthy Sparkling Prebiotic Soda, w/ Real Fruit Juice, Gut Health & Immunity Benefits, 12pk 12oz Cans, The Short List Variety Pack (Strawberry Lemonade| Lime Ginger| Raspberry Rose| Blueberry)",$35.88,1
soda,2020-11-12,"Zevia Zero Calorie Soda, Rainbow Variety Pack, Naturally Sweetened Soda, (24) 12 Ounce Cans; Cola, Ginger Root Beer, Cream Soda, Black Cherry, Dr. Zevia, Orange, Grape, and More Sugar Free Favorites",$24.99,1
soda,2020-11-12,"Arm & Hammer Baking Soda Fridge-n-Freezer Odor Absorber, 14 oz. (Pack of 12)",$11.88,1
soda,2020-11-12,"Arm & Hammer Baking Soda, 1 lb.",$6.99,1
soda,2020-11-12,ARM & HAMMER Pure Baking Soda 8 oz (Pack of 6),$10.50,1
soda,2020-11-12,"365 by Whole Foods Market, Baking Soda, 16 Ounce",$0.99,1
soda,2020-11-12,"Crush Orange Soda, 12 fl oz (pack of 12)",$3.68,1
soda,2020-11-12,"Whole Foods Market, Blood Orange Italian Soda, 25.4 fl oz",$2.99,1
soda,2020-11-12,Arm & Hammer Baking Soda-4LB (01170),$9.98,1
soda,2020-11-12,"Perrier Pink Grapefruit Flavored Carbonated Mineral Water, 8.45 Fl Oz (30 Pack) Slim Cans",$22.88,1
soda,2020-11-12,"poppi A Healthy Sparkling Prebiotic Soda, w/ Real Fruit Juice, Gut Health & Immunity Benefits, 12pk 12oz Cans, Blueberry",$35.88,1
soda,2020-11-12,"365 by Whole Foods Market, Soda, Zero Calorie Cola (6-12 Fl Oz Cans), 72 Fl Oz",$2.99,1
soda,2020-11-12,"Whole Foods Market, Tangerine Italian Soda, 25.4 fl oz",$2.99,1
soda,2020-11-12,"Barq's Red Creme Soda, 20 oz (24 Bottles)",$49.99,1
soda,2020-11-12,"365 by Whole Foods Market, Soda, Cherry Vanila Crème (6 - 12 Fl Oz Cans), 72 Fl Oz",$2.99,1
soda,2020-11-12,"365 Everyday Value, Lemon Lime Soda, 6ct",$2.99,1
soda,2020-11-12,"Dr. Brown Soda Cream Soda Diet 6 pack, 12-ounces (Pack of4)",$37.24,1
soda,2020-11-12,"Fresca Original Citrus Soda, Zero Calorie and Sugar Free, 2 Liter Bottle",$1.00,1
soda,2020-11-12,"18 Pack BGM Assortment of Soda, Coca-Cola, Pepsi, Dr Pepper, Mountain Dew, Sprite and Ginger Ale Refrigerator Restock Kit (Pack of 18)",$34.99,1
soda,2020-11-12,"McCormick All Natural Pure Vanilla Extract, 16 fl oz",$24.61,1
soda,2020-11-12,"Perrier Carbonated Mineral Water, 16.9 Fl Oz (24 Pack) Plastic Bottles",$14.83,1
soda,2020-11-12,"poppi A Healthy Sparkling Prebiotic Soda, w/ Real Fruit Juice, Gut Health & Immunity Benefits, 12pk 12oz Cans, Blueberry",$35.88,3
soda,2020-11-12,"Perrier Carbonated Mineral Water, 16.9 Fl Oz (24 Pack) Plastic Bottles",$14.83,3
soda,2020-11-12,Candy Crush Soda Saga,$0,3
soda,2020-11-12,"SodaStream Jet Sparkling Water Maker, Kit w/60l Cylinder, Black",$0,3
soda,2020-11-12,"2 Pack - Stackable Beverage Soda Can Dispenser Organizer Rack, Bronze",$18.87,3
soda,2020-11-12,"poppi A Healthy Sparkling Prebiotic Soda, w/ Real Fruit Juice, Gut Health & Immunity Benefits, 12pk 12oz Cans, Beach Party Variety Pack (Strawberry Lemonade| Lime Ginger| Pineapple Mango| Orange)",$35.88,3
soda,2020-11-12,West and Soda,$0.99,3
soda,2020-11-12,"Fresca Original Citrus Soda, Zero Calorie and Sugar Free, 2 Liter Bottle",$1.00,3
soda,2020-11-12,"18 Pack BGM Assortment of Soda, Coca-Cola, Pepsi, Dr Pepper, Mountain Dew, Sprite and Ginger Ale Refrigerator Restock Kit (Pack of 18)",$34.99,3
soda,2020-11-12,"Guaraná Antarctica, Guaraná Flavoured Soft Drink, Made From Amazon Rainforest Fruit, Imported from Brazil, 350ml/11.83 Fl Oz (Pack of 12)",$12.66,3
soda,2020-11-12,"poppi A Healthy Sparkling Prebiotic Soda, w/ Real Fruit Juice, Gut Health & Immunity Benefits, 12pk 12oz Cans, The Short List Variety Pack (Strawberry Lemonade| Lime Ginger| Raspberry Rose| Blueberry)",$35.88,3
soda,2020-11-12,"Perrier Pink Grapefruit Flavored Carbonated Mineral Water, 8.45 Fl Oz (30 Pack) Slim Cans",$22.88,3
soda,2020-11-12,"Fresca Original Citrus, Sparkling Soda Water, 12 oz Can (Pack of 18, Total of 216 Oz)",$31.99,3
soda,2020-11-12,Jacquard Products Soda Ash Dye Fixer 5 Pound,$11.73,3
soda,2020-11-12,"poppi A Healthy Sparkling Prebiotic Soda, w/ Real Fruit Juice, Gut Health & Immunity Benefits, 12pk 12oz Cans, The Short List Variety Pack (Strawberry Lemonade| Lime Ginger| Raspberry Rose| Blueberry)",$35.88,3
soda,2020-11-12,"The Soda Fountain: Floats, Sundaes, Egg Creams & More--Stories and Flavors of an American Original [A Cookbook]",$17.41,3
soda,2020-11-12,"Fanta Pineapple Soda Fruit Flavored Soft Drink, 2 Liter Bottle",$0,3
soda,2020-11-12,"Tab, 12 fl oz (pack of 12)",$37.00,3
soda,2020-11-12,Gira: Me Veras Volver,$29.99,3
soda,2020-11-12,"365 by Whole Foods Market, Cocktail Drink Mixes, Club Soda (6 - 12oz Cans), 72 Ounce",$2.99,3
